id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-460110,2024-11-08,000001,Vente,71200,4,,PL DE DOUAUMONT,1562,37000,37261,Tours,37,,,37261000CS0262,,,66,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.709129,47.384427
2024-460110,2024-11-08,000001,Vente,71200,18,,RUE BROSSOLETTE,0760,37000,37261,Tours,37,,,37261000CS0262,,,4,58.65,59,,,,,,,,2,3,Dépendance,,0,,,,,,0.709129,47.384427
2024-460110,2024-11-08,000001,Vente,71200,18,,RUE BROSSOLETTE,0760,37000,37261,Tours,37,,,37261000CS0262,,,4,58.65,59,,,,,,,,2,2,Appartement,58,2,,,,,,0.709129,47.384427
2024-460119,2024-11-12,000001,Vente en l'état futur d'achèvement,219000,25,,RUE FRANKLIN ROOSEVELT,1950,37000,37261,Tours,37,,,37261000ET0601,,,10,41.27,,,,,,,,,1,,,,,,,,,,0.67816,47.378339
2024-460119,2024-11-12,000001,Vente en l'état futur d'achèvement,219000,25,,RUE FRANKLIN ROOSEVELT,1950,37000,37261,Tours,37,,,37261000ET0601,,,59,,,,,,,,,,1,,,,,,,,,,0.67816,47.378339
2024-460129,2024-10-18,000001,Vente,140000,9001,,JARDIN GUILLAUME BOUZIGNAC,2394,37000,37261,Tours,37,,,37261000CZ0374,,,54,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.710362,47.374751
2024-460129,2024-10-18,000001,Vente,140000,6,,JARDIN JEAN DE OCKEGHEM,2657,37000,37261,Tours,37,,,37261000CZ0374,,,258,82.83,62,,,,,,,,2,2,Appartement,87,4,,,,,,0.710362,47.374751
2024-460129,2024-10-18,000001,Vente,140000,6,,JARDIN JEAN DE OCKEGHEM,2657,37000,37261,Tours,37,,,37261000CZ0374,,,258,82.83,62,,,,,,,,2,3,Dépendance,,0,,,,,,0.710362,47.374751
2024-460134,2024-10-30,000001,Vente,170000,252,,RUE JOLIVET,2790,37000,37261,Tours,37,,,37261000CS0469,,,,,,,,,,,,,0,1,Maison,84,4,S,sols,,,166,0.706962,47.383085
2024-460134,2024-10-30,000001,Vente,170000,252,,RUE JOLIVET,2790,37000,37261,Tours,37,,,37261000CS0469,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,166,0.706962,47.383085
